 NACA 0012 (65 coords)
    1   65   65    .00000   1.00000
    
  .0000000  .0000000
  .0006023  .0043262
  .0024076  .0085577
  .0054117  .0126895
  .0096074  .0167151
  .0149844  .0206266
  .0215298  .0244148
  .0292280  .0280695
  .0380602  .0315797
  .0480054  .0349339
  .0590394  .0381201
  .0711357  .0411267
  .0842652  .0439419
  .0983962  .0465548
  .1134948  .0489552
  .1295244  .0511340
  .1464466  .0530832
  .1642205  .0547965
  .1828034  .0562691
  .2021504  .0574978
  .2222149  .0584813
  .2429487  .0592202
  .2643017  .0597166
  .2862225  .0599746
  .3086583  .0599999
  .3315551  .0597996
  .3548577  .0593824
  .3785099  .0587582
  .4024549  .0579378
  .4266348  .0569330
  .4509914  .0557564
  .4754662  .0544210
  .5000000  .0529403
  .5245339  .0513276
  .5490086  .0495968
  .5733653  .0477614
  .5975451  .0458349
  .6214901  .0438303
  .6451424  .0417607
  .6684449  .0396385
  .6913418  .0374762
  .7137775  .0352855
  .7356984  .0330782
  .7570514  .0308656
  .7777852  .0286589
  .7978497  .0264691
  .8171966  .0243067
  .8357795  .0221826
  .8535534  .0201073
  .8704756  .0180911
  .8865052  .0161444
  .9016038  .0142773
  .9157348  .0124999
  .9288643  .0108219
  .9409606  .0092529
  .9519947  .0078019
  .9619398  .0064776
  .9707720  .0052883
  .9784701  .0042412
  .9850156  .0033432
  .9903926  .0026001
  .9945883  .0020168
  .9975924  .0015973
  .9993978  .0013445
 1.0000000  .0012600
