    2    2   -1   0.00000   -1   0.00000   -1   0.00000   -1   0.00000
  0.000000  0.000000  1.000000  0.000000
    0   65   65  0.500000  4.000000
  0.000000  0.000000
  0.000602  0.004326
  0.002408  0.008558
  0.005412  0.012690
  0.009607  0.016715
  0.014984  0.020627
  0.021530  0.024415
  0.029228  0.028069
  0.038060  0.031580
  0.048005  0.034934
  0.059039  0.038120
  0.071136  0.041127
  0.084265  0.043942
  0.098396  0.046555
  0.113495  0.048955
  0.129524  0.051134
  0.146447  0.053083
  0.164220  0.054796
  0.182803  0.056269
  0.202150  0.057498
  0.222215  0.058481
  0.242949  0.059220
  0.264302  0.059717
  0.286222  0.059975
  0.308658  0.060000
  0.331555  0.059800
  0.354858  0.059382
  0.378510  0.058758
  0.402455  0.057938
  0.426635  0.056933
  0.450991  0.055756
  0.475466  0.054421
  0.500000  0.052940
  0.524534  0.051328
  0.549009  0.049597
  0.573365  0.047761
  0.597545  0.045835
  0.621490  0.043830
  0.645142  0.041761
  0.668445  0.039639
  0.691342  0.037476
  0.713777  0.035285
  0.735698  0.033078
  0.757051  0.030866
  0.777785  0.028659
  0.797850  0.026469
  0.817197  0.024307
  0.835779  0.022183
  0.853553  0.020107
  0.870476  0.018091
  0.886505  0.016144
  0.901604  0.014277
  0.915735  0.012500
  0.928864  0.010822
  0.940961  0.009253
  0.951995  0.007802
  0.961940  0.006478
  0.970772  0.005288
  0.978470  0.004241
  0.985016  0.003343
  0.990393  0.002600
  0.994588  0.002017
  0.997592  0.001597
  0.999398  0.001344
  1.000000  0.001260
  0.000000  0.000000
  0.000602 -0.004326
  0.002408 -0.008558
  0.005412 -0.012690
  0.009607 -0.016715
  0.014984 -0.020627
  0.021530 -0.024415
  0.029228 -0.028069
  0.038060 -0.031580
  0.048005 -0.034934
  0.059039 -0.038120
  0.071136 -0.041127
  0.084265 -0.043942
  0.098396 -0.046555
  0.113495 -0.048955
  0.129524 -0.051134
  0.146447 -0.053083
  0.164220 -0.054796
  0.182803 -0.056269
  0.202150 -0.057498
  0.222215 -0.058481
  0.242949 -0.059220
  0.264302 -0.059717
  0.286222 -0.059975
  0.308658 -0.060000
  0.331555 -0.059800
  0.354858 -0.059382
  0.378510 -0.058758
  0.402455 -0.057938
  0.426635 -0.056933
  0.450991 -0.055756
  0.475466 -0.054421
  0.500000 -0.052940
  0.524534 -0.051328
  0.549009 -0.049597
  0.573365 -0.047761
  0.597545 -0.045835
  0.621490 -0.043830
  0.645142 -0.041761
  0.668445 -0.039639
  0.691342 -0.037476
  0.713777 -0.035285
  0.735698 -0.033078
  0.757051 -0.030866
  0.777785 -0.028659
  0.797850 -0.026469
  0.817197 -0.024307
  0.835779 -0.022183
  0.853553 -0.020107
  0.870476 -0.018091
  0.886505 -0.016144
  0.901604 -0.014277
  0.915735 -0.012500
  0.928864 -0.010822
  0.940961 -0.009253
  0.951995 -0.007802
  0.961940 -0.006478
  0.970772 -0.005288
  0.978470 -0.004241
  0.985016 -0.003343
  0.990393 -0.002600
  0.994588 -0.002017
  0.997592 -0.001597
  0.999398 -0.001344
  1.000000 -0.001260
  2.400000  1.680498  1.880498  0.000000
   -2   65   65  0.500000  0.000000
    0
